run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,4,132401
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,6,216032
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,4,286856
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,6,401383
run1_K6,6,1,True,complete,review_complete,unavailable,2,5,89,5,496138
run1_K7,7,1,True,complete,review_complete,unavailable,2,7,103,6,1206723
run1_K8,8,1,True,complete,review_complete,unavailable,2,6,87,4,739131
run2_K2,2,2,True,complete,review_complete,unavailable,2,2,103,4,132488
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,5,212359
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,4,286768
run2_K5,5,2,True,complete,review_complete,unavailable,2,3,72,6,760514
run2_K6,6,2,True,complete,review_complete,unavailable,2,6,103,4,492300
run2_K7,7,2,True,complete,review_complete,unavailable,2,5,88,6,1219186
run2_K8,8,2,True,complete,review_complete,unavailable,2,6,87,4,739581
run3_K2,2,3,True,complete,review_complete,unavailable,2,2,103,6,143650
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,4,203233
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,5,300611
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,5,390049
run3_K6,6,3,True,complete,review_complete,unavailable,2,4,81,4,492306
run3_K7,7,3,True,complete,review_complete,unavailable,2,6,99,4,608788
run3_K8,8,3,True,complete,review_complete,unavailable,2,8,103,4,740896
